Type	名称	品质	初始经验	装备上限	相克ID	能量之核孔数	缘分id	Icom图片路径	海报图片路径	说明	orderId
203	进化岩浆果实	5	1500	-1	none	6	203	devilFruit/Poster_fruit_a_05.png	devilFruit/Poster_fruit_a_05.png	自然系，身体可变为岩浆攻击敌人，没有实体，在一定范围内进行毁灭性的攻击。	203
204	进化冰冻果实	5	1500	-1	none	6	204	devilFruit/Poster_fruit_a_06.png	devilFruit/Poster_fruit_a_06.png	自然系，可以将一切物品变成冰冻，可以用冰制造武器,被冰冻的人会失去意识而且变成冰的性质。	204
205	进化闪闪果实	5	1500	-1	none	6	205	devilFruit/Poster_fruit_a_07.png	devilFruit/Poster_fruit_a_07.png	自然系，遇到普通攻击时身体能够光子化，借助光的各种特性作为攻击手段，并能用光速移动。	205
206	进化黑暗果实	5	1500	-1	none	6	206	devilFruit/Poster_fruit_a_08.png	devilFruit/Poster_fruit_a_08.png	自然系，当身体变化成“黑暗”时，拥有黑洞般的引力，可以将一切与“黑暗”接触的事物吸入，压缩，及粉碎。缺点是受到的伤害会加倍。	206
207	进化幻兽果实	5	1500	-1	none	6	207	devilFruit/Poster_fruit_a_01.png	devilFruit/Poster_fruit_a_01.png	动物系“幻兽种”，名称不明。比自然系和古代种还罕见稀有的幻兽种。可以变成全身放出蓝色火焰的白虎。	207
208	进化酸酸果实	5	1500	-1	none	6	208	devilFruit/Poster_fruit_a_02.png	devilFruit/Poster_fruit_a_02.png	疑为超人系，具有十分强大的腐蚀能力，其余能力不明。	208
209	进化线线果实	5	1500	-1	none	6	209	devilFruit/Poster_fruit_a_08.png	devilFruit/Poster_fruit_a_08.png	超人系，能够借着手指的细微操作，自由的控制细到肉眼看不见的线。	209
210	进化肉球果实	5	1500	-1	none	6	210	devilFruit/Poster_fruit_a_05.png	devilFruit/Poster_fruit_a_05.png	超人系，食用者会在双掌中产生像是熊掌一样的柔软“肉球”。拥有将一切弹开的力量。	210
211	进化幻兽果实	5	1500	-1	none	6	211	devilFruit/Poster_fruit_a_04.png	devilFruit/Poster_fruit_a_04.png	动物系“幻兽种”，名称不明。比自然系和古代种还罕见稀有的幻兽种。可以变成全身放出蓝色火焰的不死鸟，因为有“复活的蓝色火焰”可让伤口再生复原的不死鸟之能力。	211
212	进化烧烧果实	5	1500	-1	none	6	212	devilFruit/Poster_fruit_a_07.png	devilFruit/Poster_fruit_a_07.png	自然系，可以变成火的能力，施放火炎网、火拳攻击。	212
213	进化磁铁果实	5	1500	-1	none	6	213	devilFruit/Poster_fruit_a_01.png	devilFruit/Poster_fruit_a_01.png	疑似超人系，名称不明。可以控制任何金属物品，疑似磁铁的能力。	213
214	进化手术果实	5	1500	-1	none	6	214	devilFruit/Poster_fruit_a_06.png	devilFruit/Poster_fruit_a_06.png	超人系，可以在自己制造出的半圆罩式的特定空间内自由分割组合任何物件的空间改造人。使用时会消耗使用者的体力。	214
215	进化毒毒果实	5	1500	-1	none	6	215	devilFruit/Poster_fruit_a_05.png	devilFruit/Poster_fruit_a_05.png	超人系，可从口中呼出毒气，亦可从身体释放出大量含剧毒的液体。由于毒性实在太强，食用者会不停的拉肚子。	215
216	进化响雷果实	5	1500	-1	none	6	216	devilFruit/Poster_fruit_a_02.png	devilFruit/Poster_fruit_a_02.png	自然系，身体可变雷电，控制雷电，也可以制造雷电，还可以利用雷电制造高温，也可以雷电的形态和光的速度在导体和空气中快速移动。	216
217	进化甜甜果实	5	1500	-1	none	6	217	devilFruit/Poster_fruit_a_08.png	devilFruit/Poster_fruit_a_08.png	超人系，对好使用者色的人及所持物能起到石化的效果，对不好其色的人、物种及物品无效。	217
218	进化沙沙果实	5	1500	-1	none	6	218	devilFruit/Poster_fruit_a_03.png	devilFruit/Poster_fruit_a_03.png	自然系，可以变成沙，能将身体变成的沙砌成刀的形状作出攻击，右手能吸干所接触生物或物件的水份，让岩石、土壤等变回沙粒。	218
219	进化影影果实	5	1500	-1	none	6	219	devilFruit/Poster_fruit_a_01.png	devilFruit/Poster_fruit_a_01.png	超人系，拥有能够控制影子的能力。装入体内的影子越多，就越强大。	219
220	进化娃娃果实	5	1500	-1	none	6	220	devilFruit/Poster_fruit_a_06.png	devilFruit/Poster_fruit_a_06.png	疑似超人系，名称不明。会借由巫毒娃娃将伤害转移至他人身上来抵销攻击，亦可变化为稻草人型态进行攻击。巫毒娃娃能够抵销的攻击有次数限制。	220
221	进化恐龙果实	5	1500	-1	none	6	221	devilFruit/Poster_fruit_a_08.png	devilFruit/Poster_fruit_a_08.png	动物系，名称不明。非常稀有的古代种果实，可以变成兽脚亚目（暴龙、异特龙）的恐龙。	221
222	进化城堡果实	5	1500	-1	none	6	222	devilFruit/Poster_fruit_a_04.png	devilFruit/Poster_fruit_a_04.png	疑似超人系，名称不明。可以把自己的手下、大炮、马匹等缩小化收纳在身体里，释放出来后会恢复原状。	222
223	进化时间果实	5	1500	-1	none	6	223	devilFruit/Poster_fruit_a_03.png	devilFruit/Poster_fruit_a_03.png	疑似超人系，名称不明。可以自由改变自己或别人的年龄。	223
224	进化钻石果实	5	1500	-1	none	6	224	devilFruit/Poster_fruit_a_05.png	devilFruit/Poster_fruit_a_05.png	超人系，名称不明。能够将身体的任何一处变成透明纯净的钻石，变成钻石的部位拥有世上最坚硬的状态，具有极高的防御力和攻击力。	224
225	进化沼泽果实	5	1500	-1	none	6	225	devilFruit/Poster_fruit_a_02.png	devilFruit/Poster_fruit_a_02.png	自然系，体质变成沼泽也可以改变周围的环境使其沼泽化。	225
226	进化换换果实	5	1500	-1	none	6	226	devilFruit/Poster_fruit_a_08.png	devilFruit/Poster_fruit_a_08.png	疑似超人系，名称不明。身体受到伤害越大越使身体巨大化大幅度提升威力。	226
227	进化音波果实	5	1500	-1	none	6	227	devilFruit/Poster_fruit_a_07.png	devilFruit/Poster_fruit_a_07.png	超人系，名称不明。身体任何部位都可以变成乐器，透过不同的演奏产生不同的音波攻击能对人体造成不同的伤害。	227
228	进化荷尔蒙果实	5	1500	-1	none	6	228	devilFruit/Poster_fruit_a_02.png	devilFruit/Poster_fruit_a_02.png	超人系，从手指射出可以控制人体的性别、体温、色素、成长、转生等的荷尔蒙。	228
229	进化猫猫果实	5	1500	-1	none	6	229	devilFruit/Poster_fruit_a_05.png	devilFruit/Poster_fruit_a_05.png	动物系，豹形态，变成豹。力量速度爆发俱大幅度得到加强。	229
230	进化橡胶果实	5	1500	-1	none	6	230	devilFruit/Poster_fruit_a_05.png	devilFruit/Poster_fruit_a_05.png	超人系，身体变成橡胶体质，可以随意伸缩，但仍有一定的范围。不怕打击雷电系，惧怕斩击。	230
231	进化屏障果实	5	1500	-1	none	6	231	devilFruit/Poster_fruit_a_03.png	devilFruit/Poster_fruit_a_03.png	超人系，能够在周围形成屏障借此抵挡任何攻击。	231
232	进化靶靶果实	5	1500	-1	none	6	232	devilFruit/Poster_fruit_a_04.png	devilFruit/Poster_fruit_a_04.png	超人系，被获得此能力的人用手碰到后，就会被当成标的锁定。锁定的目标与手掌的数量相同，且不能洗手，洗手就会失去效果。	232
233	进化花花果实	5	1500	-1	none	6	233	devilFruit/Poster_fruit_a_07.png	devilFruit/Poster_fruit_a_07.png	超人系，身体的任何一个部位都能在任何地方像花一般的展开。十分方便的能力。	233
234	进化霸者之魂	5	1500	-1	none	6	234	devilFruit/Poster_fruit_a_bazhe.png	devilFruit/Poster_fruit_a_bazhe.png	为了守护伙伴，香克斯可以付出自己的一切，无论是肉体还是灵魂！强烈的想要守护同伴凝聚的守护之魂。	234
235	进化蒲公英果实	5	1500	-1	none	6	none	devilFruit/Poster_fruit_a_07.png	devilFruit/Poster_fruit_a_07.png	超人系，可以操纵蒲公英飘落，制造出无数蒲公英籽攻击敌人，也可以用蒲公英覆盖敌人，借此控制对方的行动。	235
236	进化传送果实	5	1500	-1	none	6	none	devilFruit/Poster_fruit_a_06.png	devilFruit/Poster_fruit_a_06.png	超人系，可以在一定范围内的空间中传送移动，能力者越强传送距离越远，传送点之间必须有陆地相连，不能跨海。	236
237	进化长长果实	5	1500	-1	none	6	none	devilFruit/Poster_fruit_a_02.png	devilFruit/Poster_fruit_a_02.png	超人系，操纵头发变成任何发型，可任意伸长头发，操纵与自己头发相连的其他人的头发绞杀敌人。	237
238	进化螳螂果实	5	1500	-1	none	6	none	devilFruit/Poster_fruit_a_03.png	devilFruit/Poster_fruit_a_03.png	动物系，可以变成大螳螂与敌人交战，害怕鸟鸟果实。	238
239	进化猫猫果实	5	1500	-1	none	6	none	devilFruit/Poster_fruit_a_07.png	devilFruit/Poster_fruit_a_07.png	动物系，豹形态，变成豹。力量速度爆发俱大幅度得到加强。	239
240	进化九尾狐果实	5	1500	-1	none	6	none	devilFruit/Poster_fruit_a_01.png	devilFruit/Poster_fruit_a_01.png	动物系“幻兽种”，比自然系和古代种还罕见稀有的幻兽种。可以变身为全身放出紫色火焰九尾狐。	240
241	进化神速果实	5	1500	-1	none	6	none	devilFruit/Poster_fruit_a_07.png	devilFruit/Poster_fruit_a_07.png	超人系，速度，速度速度加快，速度非常快，跑得太快自己也会晕。	241
242	进化暂停果实	5	1500	-1	none	6	none	devilFruit/Poster_fruit_a_04.png	devilFruit/Poster_fruit_a_04.png	超人系，可以暂停一定范围内自己以外的人的时间，很耗费体力，只能维持很短时间。	242
243	进化向日葵果实	5	1500	-1	none	6	none	devilFruit/Poster_fruit_a_03.png	devilFruit/Poster_fruit_a_03.png	超人系，变身向日葵，使用葵花籽攻击，缺点是身体会慢慢往太阳方向移动。	243
244	进化月光果实	5	1500	-1	none	6	none	devilFruit/Poster_fruit_a_02.png	devilFruit/Poster_fruit_a_02.png	超人系，可以吸收月光的能量，释放出月光能量冲击波，满月时威力超大，白天毫无能力。	244
245	进化铁拳之爱	5	1500	-1	none	6	245	devilFruit/Poster_fruit_a_yongzhe.png	devilFruit/Poster_fruit_a_yongzhe.png	贯彻了爱意的铁拳，卡普的铁拳拥有让人无法闪避和抵抗的能量。	245
246	进化冥王	5	1500	-1	none	6	246	devilFruit/Poster_fruit_a_jianyi.png	devilFruit/Poster_fruit_a_jianyi.png	曾担任罗杰副船长的雷利，同时也是世界上最为强大的剑客之一，其凝聚的魂之结晶更为精纯。	246
247	进化鹰之眼	5	1500	-1	none	6	247	devilFruit/Poster_fruit_a_yingyan.png	devilFruit/Poster_fruit_a_yingyan.png	只有最强的剑客才拥有的独特的力量，超越一切普通的剑客，鹰眼米霍克独有的魂之结晶。	247
248	进化狙击之魂	5	1500	-1	none	6	248	devilFruit/Poster_fruit_a_qianghun.png	devilFruit/Poster_fruit_a_qianghun.png	天生敏锐的感触加上后天不断地练习，不断的成长最后凝聚成百发百中的狙击之魂。	248
249	进化大海之子	5	1500	-1	none	6	249	devilFruit/Poster_fruit_a_haihun.png	devilFruit/Poster_fruit_a_haihun.png	得到大海力量的承认，在海洋里的实力算得上是数一数二，海中柔道家，鲸鲨鱼人。	249
250	进化剑客之魂	5	1500	-1	none	6	250	devilFruit/Poster_fruit_a_jianyi.png	devilFruit/Poster_fruit_a_jianyi.png	不甘心居于别人之下，不管是谁都要与之一较高低，向往随心所欲的行动，恐怖剑客希留之魂。	250
251	进化杀手之魂	5	1500	-1	none	6	251	devilFruit/Poster_fruit_a_yongzhe.png	devilFruit/Poster_fruit_a_yongzhe.png	杀手总是把自己隐藏在面具下，基拉的面具之下到底是什么，恐怕没有人能知道。	251
252	进化花之剑	5	1500	-1	none	6	252	devilFruit/Poster_fruit_a_jianyi.png	devilFruit/Poster_fruit_a_jianyi.png	每次战斗都要换一种花，实在是极为优雅的战斗方式，然而他的对手眼里，再优雅的花也会变成夺命的恶魔。	252
253	进化神偷之心	5	1500	-1	none	6	253	devilFruit/Poster_fruit_a_yongzhe.png	devilFruit/Poster_fruit_a_yongzhe.png	为了让自己变得更加强壮，努力的锻炼自己，从而凝练出更加敏锐的方向感，以及更加贪财的奇怪能力。	253
254	进化剑之尊严	5	1500	-1	none	6	254	devilFruit/Poster_fruit_a_jianyi.png	devilFruit/Poster_fruit_a_jianyi.png	赌上全部的尊严，自己承受住无穷无尽的试炼，只是为了让自己的刀刃更加锋利，意志凝聚出极致的剑客之魂。	254
255	进化力量之魂	5	1500	-1	none	6	255	devilFruit/Poster_fruit_a_yongzhe.png	devilFruit/Poster_fruit_a_yongzhe.png	守护女士，守护美食，守护世界上一切美丽的事物，“王子”优雅的强大令人着迷。	255
256	进化可乐能量	5	1500	-1	none	6	256	devilFruit/Poster_fruit_a_yongzhe.png	devilFruit/Poster_fruit_a_yongzhe.png	继承自超级科学家的技术，进行了全人体改造，尽管行为更加变态，还需可乐做能源，但已经是十分强大了。	256
257	进化狙击之魂	5	1500	-1	none	6	257	devilFruit/Poster_fruit_a_qianghun.png	devilFruit/Poster_fruit_a_qianghun.png	继承自其父亲耶稣布的敏锐感知，和继承自其母亲长长的鼻子构成的天然瞄准器，使得乌索普获得了极其精准的攻击能力。	257
258	进化海皇之魂	5	1500	-1	none	6	258	devilFruit/Poster_fruit_a_haihun.png	devilFruit/Poster_fruit_a_haihun.png	得到大海力量的承认，本身亦是古代兵器•海皇的继承者，拥有可以驱使海王类的力量。	258
259	进化人鱼之王	5	1500	-1	none	6	259	devilFruit/Poster_fruit_a_haihun.png	devilFruit/Poster_fruit_a_haihun.png	得到大海力量的承认，海洋之子，只有鱼人族才能凝练出的魂之结晶。	259
260	进化激素	5	1500	-1	none	6	260	devilFruit/Poster_fruit_a_haihun.png	devilFruit/Poster_fruit_a_haihun.png	为了让自己变得更加强壮，努力的锻炼自己，从而凝练出强大的力量之魂。	260
261	进化王者之魂	5	1500	-1	none	6	261	devilFruit/Poster_fruit_a_luojie.png	devilFruit/Poster_fruit_a_luojie.png	传说中征服大海者拥有的魂，似乎有着听到万物声音的神奇力量，这力量过于强大，会减少持有者的寿命。	261
262	进化正义之魂	5	1500	-1	none	6	262	devilFruit/Poster_fruit_a_yuanshuai.png	devilFruit/Poster_fruit_a_yuanshuai.png	钢骨铁血凝聚而成的正义之魂，只有绝对的强者才是绝对的正义	262
263	进化白马之魂	5	1500	-1	none	6	263	devilFruit/Poster_fruit_a_baima.png	devilFruit/Poster_fruit_a_baima.png	夜魔降临时杀戮的传说，由第二人格的极端分裂而形成的强大魂之结晶。	263
264	进化斗牛之魂	5	1500	-1	none	6	264	devilFruit/Poster_fruit_a_douniu.png	devilFruit/Poster_fruit_a_douniu.png	斗牛竞技场的不败传奇，最为强大的竞技场剑斗士所凝集的魂魄之力。	264
265	进化海王之魂	5	1500	-1	none	6	265	devilFruit/Poster_fruit_a_haihuang.png	devilFruit/Poster_fruit_a_haihuang.png	散发着王者之气的人鱼族领袖的魂之精华，拥有大海一般的力量。	265
266	进化铁椎之魂	5	1500	-1	none	6	266	devilFruit/Poster_fruit_a_tuizhui.png	devilFruit/Poster_fruit_a_tuizhui.png	拥有着撞断山脉的可怕力量所凝聚的力量之魂。	266
267	进化重力果实	5	1500	-1	none	6	267	devilFruit/Poster_fruit_a_08.png	devilFruit/Poster_fruit_a_08.png	超人系，可以控制重力，召唤陨石的强大果实，具有可怕的破坏力。	267
268	进化嗜鲨之魂	5	1500	-1	none	6	268	devilFruit/Poster_fruit_a_shiya1.png	devilFruit/Poster_fruit_a_shiya1.png	由嗜血和杀戮凝聚成的人鱼之力，散发着强大的邪恶气息。	268
269	进化疯狂之力	5	1500	-1	none	6	269	devilFruit/Poster_fruit_s_baima.png	devilFruit/Poster_fruit_s_baima.png	有一颗疯狂的心，你才能无敌天下，定制人物专属，最强果实。	269
270	进化疯狂之体	5	1500	-1	none	6	270	devilFruit/Poster_fruit_s_baima.png	devilFruit/Poster_fruit_s_baima.png	有一颗疯狂的心，你才能无敌天下，定制人物专属，最强果实。	270
