ID	名称	类型	品质	装备说明	初始值	升级成长值	Icom图片路径	海报图片路径	名字图片路径	orderId	套装
183	冥·英雄勋章	3	5	经上古冥王结晶熔炼而成的英雄勋章，穿戴2件以上冥王套装将触发冥王套装效果。	648	52.7	equipposter/poster_jewelry_zongshuaixunzhang.png	equipposter/poster_jewelry_zongshuaixunzhang.png	equiptex/tex_jewelry_zongshuaixunzhang.png	7	5,6
184	天·神恩[VIP]	3	5	经上古天王结晶熔炼而成的神恩，穿戴2件以上天王套装将触发天王套装效果。	1080	62.6	equipposter/poster_jewelry_shenen.png	equipposter/poster_jewelry_shenen.png	equiptex/tex_jewelry_shenen.png	3	1,2
185	海·神恩[VIP]	3	5	经上古海王结晶熔炼而成的神恩，穿戴2件以上海王套装将触发海王套装效果。	1080	62.6	equipposter/poster_jewelry_shenen.png	equipposter/poster_jewelry_shenen.png	equiptex/tex_jewelry_shenen.png	2	3,4
186	冥·神恩[VIP]	3	5	经上古冥王结晶熔炼而成的神恩，穿戴2件以上冥王套装将触发冥王套装效果。	1080	62.6	equipposter/poster_jewelry_shenen.png	equipposter/poster_jewelry_shenen.png	equiptex/tex_jewelry_shenen.png	1	5,6
187	天·十字战甲	2	5	经上古天王结晶熔炼而成的十字战甲，穿戴2件以上天王套装将触发天王套装效果。	201	15.8	equipposter/poster_clothes_shizizhanjia.png	equipposter/poster_clothes_shizizhanjia.png	equiptex/tex_clothes_shizizhanjia.png	30	1,2
188	海·十字战甲	2	5	经上古海王结晶熔炼而成的十字战甲，穿戴2件以上海王套装将触发海王套装效果。	201	15.8	equipposter/poster_clothes_shizizhanjia.png	equipposter/poster_clothes_shizizhanjia.png	equiptex/tex_clothes_shizizhanjia.png	29	3,4
189	冥·十字战甲	2	5	经上古冥王结晶熔炼而成的十字战甲，穿戴2件以上冥王套装将触发冥王套装效果。	201	15.8	equipposter/poster_clothes_shizizhanjia.png	equipposter/poster_clothes_shizizhanjia.png	equiptex/tex_clothes_shizizhanjia.png	28	5,6
190	天·火烈鸟大氅	2	5	经上古天王结晶熔炼而成的火烈鸟大氅，穿戴2件以上天王套装将触发天王套装效果。	178	14.5	equipposter/poster_clothes_huolieniaodachang.png	equipposter/poster_clothes_huolieniaodachang.png	equiptex/tex_clothes_huolieniaodachang.png	50	1,2
191	海·火烈鸟大氅	2	5	经上古海王结晶熔炼而成的火烈鸟大氅，穿戴2件以上海王套装将触发海王套装效果。	178	14.5	equipposter/poster_clothes_huolieniaodachang.png	equipposter/poster_clothes_huolieniaodachang.png	equiptex/tex_clothes_huolieniaodachang.png	48	3,4
192	冥·火烈鸟大氅	2	5	经上古冥王结晶熔炼而成的火烈鸟大氅，穿戴2件以上冥王套装将触发冥王套装效果。	178	14.5	equipposter/poster_clothes_huolieniaodachang.png	equipposter/poster_clothes_huolieniaodachang.png	equiptex/tex_clothes_huolieniaodachang.png	46	5,6
193	天·战神头盔	2	5	经上古天王结晶熔炼而成的战神头盔，穿戴2件以上天王套装将触发天王套装效果。	182	14.2	equipposter/poster_clothes_zhanshentoukui.png	equipposter/poster_clothes_zhanshentoukui.png	equiptex/tex_clothes_zhanshentoukui.png	42	1,2
194	海·战神头盔	2	5	经上古海王结晶熔炼而成的战神头盔，穿戴2件以上海王套装将触发海王套装效果。	182	14.2	equipposter/poster_clothes_zhanshentoukui.png	equipposter/poster_clothes_zhanshentoukui.png	equiptex/tex_clothes_zhanshentoukui.png	41	3,4
195	冥·战神头盔	2	5	经上古冥王结晶熔炼而成的战神头盔，穿戴2件以上冥王套装将触发冥王套装效果。	182	14.2	equipposter/poster_clothes_zhanshentoukui.png	equipposter/poster_clothes_zhanshentoukui.png	equiptex/tex_clothes_zhanshentoukui.png	40	5,6
196	天·统治者披风	2	5	经上古天王结晶熔炼而成的统治者披风，穿戴2件以上天王套装将触发天王套装效果。	176	14	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png	54	1,2
197	海·统治者披风	2	5	经上古海王结晶熔炼而成的统治者披风，穿戴2件以上海王套装将触发海王套装效果。	176	14	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png	53	3,4
198	冥·统治者披风	2	5	经上古冥王结晶熔炼而成的统治者披风，穿戴2件以上冥王套装将触发冥王套装效果。	176	14	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png	52	5,6
199	天·玫瑰战甲	2	5	经上古天王结晶熔炼而成的玫瑰战甲，穿戴2件以上天王套装将触发天王套装效果。	180	14	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	45	1,2
200	海·玫瑰战甲	2	5	经上古海王结晶熔炼而成的玫瑰战甲，穿戴2件以上海王套装将触发海王套装效果。	180	14	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	44	3,4
201	冥·玫瑰战甲	2	5	经上古冥王结晶熔炼而成的玫瑰战甲，穿戴2件以上冥王套装将触发冥王套装效果。	180	14	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	43	5,6
202	天·海神羽织	2	5	经上古天王结晶熔炼而成的海神羽织，穿戴2件以上天王套装将触发天王套装效果。	193	16.6	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	36	1,2
203	海·海神羽织	2	5	经上古海王结晶熔炼而成的海神羽织，穿戴2件以上海王套装将触发海王套装效果。	193	16.6	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	35	3,4
204	冥·海神羽织	2	5	经上古冥王结晶熔炼而成的海神羽织，穿戴2件以上冥王套装将触发冥王套装效果。	193	16.6	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	34	5,6
205	天·王者战衣	2	5	经上古天王结晶熔炼而成的王者战衣，穿戴2件以上天王套装将触发天王套装效果。	198	17	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	33	1,2
206	海·王者战衣	2	5	经上古海王结晶熔炼而成的王者战衣，穿戴2件以上海王套装将触发海王套装效果。	198	17	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	32	3,4
207	冥·王者战衣	2	5	经上古冥王结晶熔炼而成的王者战衣，穿戴2件以上冥王套装将触发冥王套装效果。	198	17	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	31	5,6
208	天·狗头帽	2	5	经上古天王结晶熔炼而成的狗头帽，穿戴2件以上天王套装将触发天王套装效果。	189	16.6	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	39	1,2
209	海·狗头帽	2	5	经上古海王结晶熔炼而成的狗头帽，穿戴2件以上海王套装将触发海王套装效果。	189	16.6	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	38	3,4
210	冥·狗头帽	2	5	经上古冥王结晶熔炼而成的狗头帽，穿戴2件以上冥王套装将触发冥王套装效果。	189	16.6	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	37	5,6
211	天·护目镜	2	5	经上古天王结晶熔炼而成的护目镜，穿戴2件以上天王套装将触发天王套装效果。	178	16.2	equipposter/poster_clothes_humujing.png	equipposter/poster_clothes_humujing.png	equipposter/poster_clothes_humujing.png	51	1,2
212	海·护目镜	2	5	经上古海王结晶熔炼而成的护目镜，穿戴2件以上海王套装将触发海王套装效果。	178	16.2	equipposter/poster_clothes_humujing.png	equipposter/poster_clothes_humujing.png	equipposter/poster_clothes_humujing.png	49	3,4
213	冥·护目镜	2	5	经上古冥王结晶熔炼而成的护目镜，穿戴2件以上冥王套装将触发冥王套装效果。	178	16.2	equipposter/poster_clothes_humujing.png	equipposter/poster_clothes_humujing.png	equipposter/poster_clothes_humujing.png	47	5,6
214	天·神域[VIP]	2	5	经上古天王结晶熔炼而成的神域，穿戴2件以上天王套装将触发天王套装效果。	450	23.8	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	27	1,2
215	海·神域[VIP]	2	5	经上古海王结晶熔炼而成的神域，穿戴2件以上海王套装将触发海王套装效果。	450	23.8	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	26	3,4
216	冥·神域[VIP]	2	5	经上古冥王结晶熔炼而成的神域，穿戴2件以上冥王套装将触发冥王套装效果。	450	23.8	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	25	5,6
217	天·黑刀夜	1	5	经上古天王结晶熔炼而成的黑刀夜，穿戴2件以上天王套装将触发天王套装效果。	362	27	equipposter/poster_weapon_heidaoye.png	equipposter/poster_weapon_heidaoye.png	equiptex/tex_weapon_heidaoye.png	63	1,2
218	海·黑刀夜	1	5	经上古海王结晶熔炼而成的黑刀夜，穿戴2件以上海王套装将触发海王套装效果。	362	27	equipposter/poster_weapon_heidaoye.png	equipposter/poster_weapon_heidaoye.png	equiptex/tex_weapon_heidaoye.png	62	3,4
219	冥·黑刀夜	1	5	经上古冥王结晶熔炼而成的黑刀夜，穿戴2件以上冥王套装将触发冥王套装效果。	362	27	equipposter/poster_weapon_heidaoye.png	equipposter/poster_weapon_heidaoye.png	equiptex/tex_weapon_heidaoye.png	61	5,6
220	天·王者薙刀	1	5	经上古天王结晶熔炼而成的王者薙刀，穿戴2件以上天王套装将触发天王套装效果。	340	24.6	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	72	1,2
221	海·王者薙刀	1	5	经上古海王结晶熔炼而成的王者薙刀，穿戴2件以上海王套装将触发海王套装效果。	340	24.6	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	71	3,4
222	冥·王者薙刀	1	5	经上古冥王结晶熔炼而成的王者薙刀，穿戴2件以上冥王套装将触发冥王套装效果。	340	24.6	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	70	5,6
223	天·初代鬼彻	1	5	经上古天王结晶熔炼而成的初代鬼彻，穿戴2件以上天王套装将触发天王套装效果。	320	22.7	equipposter/poster_weapon_chudaiguiche.png	equipposter/poster_weapon_chudaiguiche.png	equiptex/tex_weapon_chudaiguiche.png	75	1,2
224	海·初代鬼彻	1	5	经上古海王结晶熔炼而成的初代鬼彻，穿戴2件以上海王套装将触发海王套装效果。	320	22.7	equipposter/poster_weapon_chudaiguiche.png	equipposter/poster_weapon_chudaiguiche.png	equiptex/tex_weapon_chudaiguiche.png	74	3,4
225	冥·初代鬼彻	1	5	经上古冥王结晶熔炼而成的初代鬼彻，穿戴2件以上冥王套装将触发冥王套装效果。	320	22.7	equipposter/poster_weapon_chudaiguiche.png	equipposter/poster_weapon_chudaiguiche.png	equiptex/tex_weapon_chudaiguiche.png	73	5,6
226	天·七星剑	1	5	经上古天王结晶熔炼而成的七星剑，穿戴2件以上天王套装将触发天王套装效果。	304	21	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	78	1,2
227	海·七星剑	1	5	经上古海王结晶熔炼而成的七星剑，穿戴2件以上海王套装将触发海王套装效果。	304	21	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	77	3,4
228	冥·七星剑	1	5	经上古冥王结晶熔炼而成的七星剑，穿戴2件以上冥王套装将触发冥王套装效果。	304	21	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	76	5,6
229	天·恶魔战斧	1	5	经上古天王结晶熔炼而成的恶魔战斧，穿戴2件以上天王套装将触发天王套装效果。	295	19.8	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	81	1,2
230	海·恶魔战斧	1	5	经上古海王结晶熔炼而成的恶魔战斧，穿戴2件以上海王套装将触发海王套装效果。	295	19.8	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	80	3,4
231	冥·恶魔战斧	1	5	经上古冥王结晶熔炼而成的恶魔战斧，穿戴2件以上冥王套装将触发冥王套装效果。	295	19.8	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	79	5,6
232	天·霸海	1	5	经上古天王结晶熔炼而成的霸海，穿戴2件以上天王套装将触发天王套装效果。	396	28.4	equipposter/poster_weapon_bahai.png	equipposter/poster_weapon_bahai.png	equiptex/tex_weapon_bahai.png	60	1,2
233	海·霸海	1	5	经上古海王结晶熔炼而成的霸海，穿戴2件以上海王套装将触发海王套装效果。	396	28.4	equipposter/poster_weapon_bahai.png	equipposter/poster_weapon_bahai.png	equiptex/tex_weapon_bahai.png	59	3,4
234	冥·霸海	1	5	经上古冥王结晶熔炼而成的霸海，穿戴2件以上冥王套装将触发冥王套装效果。	396	28.4	equipposter/poster_weapon_bahai.png	equipposter/poster_weapon_bahai.png	equiptex/tex_weapon_bahai.png	58	5,6
235	天·海皇三叉戟	1	5	经上古天王结晶熔炼而成的海皇三叉戟，穿戴2件以上天王套装将触发天王套装效果。	351	25.6	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	66	1,2
236	海·海皇三叉戟	1	5	经上古海王结晶熔炼而成的海皇三叉戟，穿戴2件以上海王套装将触发海王套装效果。	351	25.6	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	65	3,4
237	冥·海皇三叉戟	1	5	经上古冥王结晶熔炼而成的海皇三叉戟，穿戴2件以上冥王套装将触发冥王套装效果。	351	25.6	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	64	5,6
238	天·十字剑	1	5	经上古天王结晶熔炼而成的十字剑，穿戴2件以上天王套装将触发天王套装效果。	342	25.7	equipposter/poster_weapon_jingjichangtiejian.png	equipposter/poster_weapon_jingjichangtiejian.png	equiptex/tex_weapon_jingjichangtiejian.png	69	1,2
239	海·十字剑	1	5	经上古海王结晶熔炼而成的十字剑，穿戴2件以上海王套装将触发海王套装效果。	342	25.7	equipposter/poster_weapon_jingjichangtiejian.png	equipposter/poster_weapon_jingjichangtiejian.png	equiptex/tex_weapon_jingjichangtiejian.png	68	3,4
240	冥·十字剑	1	5	经上古冥王结晶熔炼而成的十字剑，穿戴2件以上冥王套装将触发冥王套装效果。	342	25.7	equipposter/poster_weapon_jingjichangtiejian.png	equipposter/poster_weapon_jingjichangtiejian.png	equiptex/tex_weapon_jingjichangtiejian.png	67	5,6
241	天·血色战斧	1	5	经上古天王结晶熔炼而成的血色战斧，穿戴2件以上天王套装将触发天王套装效果。	270	18.8	equipposter/poster_weapon_zhanfu.png	equipposter/poster_weapon_zhanfu.png	equiptex/tex_jewelry_zhanfu.png	84	1,2
242	海·血色战斧	1	5	经上古海王结晶熔炼而成的血色战斧，穿戴2件以上海王套装将触发海王套装效果。	270	18.8	equipposter/poster_weapon_zhanfu.png	equipposter/poster_weapon_zhanfu.png	equiptex/tex_jewelry_zhanfu.png	83	3,4
243	冥·血色战斧	1	5	经上古冥王结晶熔炼而成的血色战斧，穿戴2件以上冥王套装将触发冥王套装效果。	270	18.8	equipposter/poster_weapon_zhanfu.png	equipposter/poster_weapon_zhanfu.png	equiptex/tex_jewelry_zhanfu.png	82	5,6
244	天·神罚[VIP]	1	5	经上古天王结晶熔炼而成的神罚，穿戴2件以上天王套装将触发天王套装效果。	720	36.8	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	57	1,2
245	海·神罚[VIP]	1	5	经上古海王结晶熔炼而成的神罚，穿戴2件以上海王套装将触发海王套装效果。	720	36.8	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	56	3,4
246	冥·神罚[VIP]	1	5	经上古冥王结晶熔炼而成的神罚，穿戴2件以上冥王套装将触发冥王套装效果。	720	36.8	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	55	5,6
247	神罚	1	9	本服神装，跨服战专供。	780	39.9	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	55	none
248	神域	2	9	本服神装，跨服战专供。	487	25.7	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	25	none
249	神恩	3	9	本服神装，跨服战专供。	1170	67.8	equipposter/poster_jewelry_shenen.png	equipposter/poster_jewelry_shenen.png	equiptex/tex_jewelry_shenen.png	1	none
300	进化阎魔(特典)	1	5	前海贼王船员光月·御田的佩刀，传说中斩龙的利刃，会蚕食使用者的霸气，进化后能力更强。	660	56	equipposter/poster_weapon_yanmo.png	equipposter/poster_weapon_yanmo.png	equiptex/tex_weapon_yanmo.png	300	none
301	传承草帽(特典)	2	1	海贼王哥尔·D·罗杰曾经使用的草帽，象征着自由的意志。	240	20	equipposter/caomao1.png	equipposter/caomao1.png	equiptex/caomao1.png	301	none
302 进化草帽(特典)	2	5	海贼王哥尔·D·罗杰曾经使用的草帽，象征着自由的意志。	540	50	equipposter/caomao1.png	equipposter/caomao1.png	equiptex/caomao1.png	302	none
303 黑刀夜(特典)	1	1	世界最强之黑刀，无上大快刀之一，漆黑的利刃，为乱刃重花丁字型。	402	30	equipposter/poster_weapon_heidaoye.png	equipposter/poster_weapon_heidaoye.png	equiptex/tex_weapon_heidaoye.png	303	none
304 进化黑刀夜(特典)	1	5	世界最强之黑刀，无上大快刀之一，漆黑的利刃，为乱刃重花丁字型。	702	60	equipposter/poster_weapon_heidaoyeS.png	equipposter/poster_weapon_heidaoyeS.png	equiptex/tex_weapon_heidaoyeS.png	304	none
305 王者薙刀(特典)	1	1	巨大的长柄薙刀，因为其主人白胡子的缘故，散发出王者霸气。	378	27.4	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	305	none
306 进化薙刀(特典)	1	5	巨大的长柄薙刀，因为其主人白胡子的缘故，散发出王者霸气。	678	57.4	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	306	none
307 七星剑(特典)	1	1	闪耀着七星光辉的圣剑，因为受到诅咒，从而成为足以毁天灭地的妖刀。	338	23.4	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	307	none
308 进化七星剑(特典)	1	5	闪耀着七星光辉的圣剑，因为受到诅咒，从而成为足以毁天灭地的妖刀。	638	53.4	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	308	none
309 恶魔战斧(特典)	1	1	巨大的战斧，传说为恶魔的兵刃，散发着诡异恐怖的气息。	328	22	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	309	none
310 进化恶魔战斧(特典)	1	5	巨大的战斧，传说为恶魔的兵刃，散发着诡异恐怖的气息。	628	52	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	310	none
311 十字战甲(特典)	2	1	胸前刻有十字的神圣战甲，传说接受了神明的祝福，而拥有无比强大的防御力。	224	17.6	equipposter/poster_clothes_shizizhanjia.png	equipposter/poster_clothes_shizizhanjia.png	equiptex/tex_clothes_shizizhanjia.png	311	none
312 进化十字战甲(特典)	2	5	胸前刻有十字的神圣战甲，传说接受了神明的祝福，而拥有无比强大的防御力。	524	47.6	equipposter/poster_clothes_shizizhanjia.png	equipposter/poster_clothes_shizizhanjia.png	equiptex/tex_clothes_shizizhanjia.png	312	none
313 火烈鸟大氅(特典)	2	1	使用上千火烈鸟羽毛编织而成的大氅，柔软舒适，华贵无比。	198	16.2	equipposter/poster_clothes_huolieniaodachang.png	equipposter/poster_clothes_huolieniaodachang.png	equiptex/tex_clothes_huolieniaodachang.png	313	none
314 进化火烈鸟(特典)	2	5	使用上千火烈鸟羽毛编织而成的大氅，柔软舒适，华贵无比。	498	46.2	equipposter/poster_clothes_huolieniaodachang.png	equipposter/poster_clothes_huolieniaodachang.png	equiptex/tex_clothes_huolieniaodachang.png	314	none
315 战神头盔(特典)	2	1	传说中巨人信仰的战神所戴的头盔，被赋予了无尽的勇气和不屈意志。	202	15.8	equipposter/poster_clothes_zhanshentoukui.png	equipposter/poster_clothes_zhanshentoukui.png	equiptex/tex_clothes_zhanshentoukui.png	315	none
316 进化战神头盔(特典)	2	5	传说中巨人信仰的战神所戴的头盔，被赋予了无尽的勇气和不屈意志。	502	45.8	equipposter/poster_clothes_zhanshentoukui.png	equipposter/poster_clothes_zhanshentoukui.png	equiptex/tex_clothes_zhanshentoukui.png	316	none
317 统治者披风(特典)	2	1	上位统治者专属的披风，系上之后威风凛凛，尽显王者之风。	196	15.6	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png	317	none
318 进化披风(特典)	2	5	上位统治者专属的披风，系上之后威风凛凛，尽显王者之风。	496	45.6	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png	317	none
319 玫瑰战甲(特典)	2	1	粉色的战甲，上面镂刻着朵朵盛开的玫瑰，美艳绝伦。	200	15.6	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	319	none
320 进化玫瑰战甲(特典)	2	5	粉色的战甲，上面镂刻着朵朵盛开的玫瑰，美艳绝伦。	500	45.6	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	320	none
321 命运流火(特典)	3	1	不知名的材料制作而成，仿佛一团火焰在水晶中流动，充满着命运的神秘感。	680	53.8	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png	321	none
322 进化命运流火(特典)	3	5	不知名的材料制作而成，仿佛一团火焰在水晶中流动，充满着命运的神秘感。	1080	93.8	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png	322	none
323 死亡诱惑(特典)	3	1	骷髅状的挂饰，直视它空洞的双瞳，就会沉入死亡的阴影之中，只有意志坚强者才能佩戴。	650	47.6	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	323	none
324 进化死亡诱惑(特典)	3	5	骷髅状的挂饰，直视它空洞的双瞳，就会沉入死亡的阴影之中，只有意志坚强者才能佩戴。	1050	87.6	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	324	none
325 十字挂饰(特典)	3	1	十字型的华丽挂饰，上面镶嵌着宝石，熠熠生辉，充斥着神圣而高贵的气息。	620	46.8	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	325	none
326 进化十字挂饰(特典)	3	5	十字型的华丽挂饰，上面镶嵌着宝石，熠熠生辉，充斥着神圣而高贵的气息。	1020	86.8	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	326	none
327 深海之眼(特典)	3	1	银色的戒指上，镶嵌着深蓝色的巨大宝石，仿佛海神之眼，幽蓝而深邃。经过进化后能力更强。	600	46.6	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png	327	none
328 进化深海之眼(特典)	3	5	银色的戒指上，镶嵌着深蓝色的巨大宝石，仿佛海神之眼，幽蓝而深邃。经过进化后能力更强。	1000	86.6	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png	328	none
329 诱惑之瞳(特典)	3	1	金色的戒指上镶嵌着巨大的紫色宝石，神秘妖冶，充满诱惑。	580	45.6	equipposter/poster_jewelry_youhuozhitong.png	equipposter/poster_jewelry_youhuozhitong.png	equiptex/tex_jewelry_youhuozhitong.png	329	none
330 进化诱惑之瞳(特典)	3	5	金色的戒指上镶嵌着巨大的紫色宝石，神秘妖冶，充满诱惑。	980	85.6	equipposter/poster_jewelry_youhuozhitong.png	equipposter/poster_jewelry_youhuozhitong.png	equiptex/tex_jewelry_youhuozhitong.png	330	none
331 霸海(特典)	1	1	外表看上去极其普通的弯刀，据说只有被认可的海上霸者，才能发挥其蕴含着的神秘力量。	440	31.6	equipposter/poster_weapon_bahai.png	equipposter/poster_weapon_bahai.png	equiptex/tex_weapon_bahai.png	331	none
332 进化霸海(特典)	1	5	外表看上去极其普通的弯刀，据说只有被认可的海上霸者，才能发挥其蕴含着的神秘力量。	740	61.6	equipposter/poster_weapon_bahaiS.png	equipposter/poster_weapon_bahaiS.png	equiptex/tex_weapon_bahaiS.png	332	none
333 海皇三叉戟(特典)	1	1	据传为海皇所用的三叉戟神器，既能掀起狂暴的海浪，也能召唤海兽为其效力。	390	28.4	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	333	none
334 进化海皇三叉戟(特典)	1	5	据传为海皇所用的三叉戟神器，既能掀起狂暴的海浪，也能召唤海兽为其效力。	690	58.4	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	334	none
335 海神羽织(特典)	2	1	被海神祝福过的羽衣，如丝带一般，轻盈飘逸。	214	18.4	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	335	none
